FirstName;MiddleInitial;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;City;State;ZIP;Phone
Stacy;P;Sanz;22/02/1950 00:00;M;F;ssanz@humongousinsurance.com;50000;2;1;Partial Co;Professional;1;2;3828 Baltic Sea Ct;;Lake Oswego;OR;97034;497-555-0111
Trevor;L;Griffin;27/01/1951 00:00;M;M;tgriffin@humongousinsurance.com;50000;2;1;High Schoo;Professional;1;2;3947 Alhambra Valley Rd;;Lake Oswego;OR;97034;872-555-0163
Kyle;;Allen;10/07/1951 00:00;S;M;kallen@humongousinsurance.com;60000;2;1;Partial Co;Professional;0;1;463 Creekside Drive;;Lake Oswego;OR;97034;236-555-0164
Gregory;C;Deng;10/11/1953 00:00;S;M;gdeng@humongousinsurance.com;70000;4;3;Partial Co;Professional;0;1;5307 Wildberry Court;;Lake Oswego;OR;97034;635-555-0127
Claudia;J;Wu;10/09/1944 00:00;S;F;cwu@humongousinsurance.com;80000;5;0;Bachelors;Management;1;2;5458 Birchwood;;Lake Oswego;OR;97034;1 (11) 500 555-0118
Terry;L;Anand;25/11/1946 00:00;M;M;tanand@humongousinsurance.com;130000;4;4;Partial Co;Professional;1;4;5536 Court Lane;;Lake Oswego;OR;97034;1 (11) 500 555-0187
Haley;L;Green;23/03/1953 00:00;M;F;hgreen@humongousinsurance.com;80000;4;2;Partial Co;Professional;1;2;6706 Ridgeview Dr;;Lake Oswego;OR;97034;1 (11) 500 555-0138
Dakota;A;Coleman;15/07/1953 00:00;S;M;dcoleman@humongousinsurance.com;90000;4;2;Partial Co;Professional;0;2;8185 Sol Street;;Lake Oswego;OR;97034;1 (11) 500 555-0125
Melvin;;Lal;07/05/1952 00:00;S;M;mlal@humongousinsurance.com;70000;5;2;Partial Hi;Skilled Manual;1;2;8325 Newcastle Rd;;Lake Oswego;OR;97034;1 (11) 500 555-0176
Lindsey;S;She;25/06/1950 00:00;S;F;lshe@humongousinsurance.com;80000;5;2;High Schoo;Management;1;2;8390 Galloway Dr;;Lake Oswego;or;97034;1 (11) 500 555-0160
Hunter;A;Green;21/11/1952 00:00;M;M;hgreen@lucernepublishing.com;10000;3;0;Partial Co;Manual;1;2;9903 Highway 6 South;;Houston;TX;77003;1 (11) 500 555-0142
