FirstName,MiddleInitial,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,City,State,ZIP,Phone
Ian,E,Evans,11/17/1952 0:00,M,M,ievans@adatum.com,30000,3,0,High Schoo,Skilled Manual,1,2,Parkway City Mall,,Huntsville,AL,35801,1 (11) 500 555-0136
Kristine,,Rubio,9/19/1957 0:00,S,F,krubio@adatum.com,50000,2,0,High Schoo,Professional,0,2,39950 Airport Blvd.,,Mobile,AL,36602,1 (11) 500 555-0165
Tabitha,A,Rubio,10/5/1958 0:00,S,F,trubio@adatum.com,130000,0,1,Graduate D,Management,1,1,574 Atlanta Highway,,Montgomery,Al,36104,1 (11) 500 555-0116
Marvin,,Castro,12/12/1958 0:00,S,M,mcastro@adatum.com,130000,0,1,Graduate D,Management,0,2,4584 Hamiliton Ave.,,Chandler,AZ,85225,1 (11) 500 555-0158
Albert,,Gutierrez,9/12/1957 0:00,S,M,agutierrez@adatum.com,70000,2,1,Partial Co,Professional,0,0,7656 Ramsey Circle,,Chandler,AZ,85225,984-555-0146
Carmen,,Sanchez,10/11/1963 0:00,S,F,csanchez@adatum.com,70000,0,0,Bachelors,Professional,0,1,870 N. 54th Ave.,,Chandler,AZ,85225,1 (11) 500 555-0167
Terry,,Goel,10/6/1960 0:00,M,M,tgoel@adatum.com,60000,1,0,Partial Co,Skilled Manual,1,1,9980 S Alma School Road,,Chandler,AZ,85225,1 (11) 500 555-0149
Jorge,L,Zeng,4/21/1965 0:00,S,M,jzeng@adatum.com,80000,5,5,Bachelors,Professional,1,4,2551 East Warner Road,,Gilbert,AZ,85233,1 (11) 500 555-0169
Christine,S,Sharma,7/5/1962 0:00,S,F,csharma@adatum.com,70000,5,4,Partial Co,Professional,0,3,253731 West Bell Road,,Surprise,AZ,85374,367-555-0149
Robert,R,Hughes,3/3/1962 0:00,M,M,rhughes@adatum.com,80000,5,4,Partial Co,Professional,0,3,6500 East Grant Road,,Tucson,AZ,85701,107-555-0186
